Rank,Title,Year,Director,Canon Score,TMDB Rating
349,Oppenheimer,2023,Christopher Nolan,53,8.041
350,Being There,1979,Hal Ashby,53,7.588
351,Strangers on a Train,1951,Alfred Hitchcock,53,7.664
352,Slow West,2015,John Maclean,53,6.685
353,EO,2022,Jerzy Skolimowski,52,6.524
354,The Killing,1956,Stanley Kubrick,52,7.647
355,The Man Who Knew Too Much,1956,Alfred Hitchcock,52,7.5
356,The Birds,1963,Alfred Hitchcock,52,7.5
357,Toni Erdmann,2016,Maren Ade,52,6.956
358,The Other Side of the Mirror,1975,Jesús Franco,52,5.1
359,Dunkirk,2017,Christopher Nolan,51,7.5
360,Do the Right Thing,1989,Spike Lee,50,7.77
361,The Earth is Thirsty,1930,Yuli Raizman,48,0
362,Harold and Maude,1971,Hal Ashby,48,7.604
363,TÁR,2022,Todd Field,48,7.089
364,The Big Lebowski,1998,Joel Coen,46,7.84
365,Gerry,2002,Gus Van Sant,45,6.062
366,Dante's Inferno,1911,Giuseppe de Liguoro,44,6.581
367,Her,2013,Spike Jonze,44,7.844
368,Moonlight,2016,Barry Jenkins,44,7.364
369,Elephant,2003,Gus Van Sant,42,7.033
370,Memento,2000,Christopher Nolan,42,8.178
371,The Last Detail,1973,Hal Ashby,42,7
372,Boyhood,2014,Richard Linklater,42,7.492
373,Tabu: A Story of the South Seas,1931,F. W. Murnau,41,7.096
374,Under the Skin,2013,Jonathan Glazer,41,6.1
375,Ten Dark Women,2002,Kon Ichikawa,40,0
376,The Proposition,2005,John Hillcoat,40,7.025
377,"Sorry, Baby",2025,Eva Victor,39,6.908
378,Week-end,1967,David McNeil,38,0
379,First Reformed,2018,Paul Schrader,37,6.98
380,No Country for Old Men,2007,Joel Coen,37,7.947
381,Leviathan,2014,George P. Cosmatos,32,5.96
382,Smokey Joe's Cafe: The Songs of Leiber and Stoller,2002,Don Roy King,24,4.2
